File Name,Pet Name,Rarity,Drop Percentage,Power Percentage,Expression,,,,Common Weights,Uncommon Weights,Rare Weights,Epic Weights,Legendary Weights,Mythic Weights
Earth_2,Geo,Epic,50,11,Frozen,,,,,,,,,
Earth_3,Bedrock,Legendary,30,17,Mustage,,,,,,,,,
Fire_1,Inferno,Common,150,5,Lightning,,,,,,,,,
Fire_2,Pyro,Rare,100,8,Unibrow,,,,,,,,,
Fire_3,Sizzle,Mythic,5,25,Anime,,,,,,,,,
Galaxy_1,Cosmic,Uncommon,200,2,Cry,,,,,,,,,
Galaxy_2,Celestial,Epic,50,11,Gemstone,,,,,,,,,
Galaxy_3,Pulsar,Legendary,30,17,Angry,,,,,,,,,
Gemstone_1,Amethyst,Rare,100,8,Smile,,,,,,,,,
Gemstone_2,Onyx,Uncommon,200,2,Confused,,,,,,,,,
Gemstone_3,Jade,Epic,50,11,Mustage,,,,,,,,,
Gold_1,Aureus,Common,150,5,Cry,,,,,,,,,
Gold_2,Glint,Rare,100,8,Gemstone,,,,,,,,,
Gold_3,Luster,Mythic,5,25,Unibrow,,,,,,,,,
Ice_1,Tundra,Epic,50,11,Angry,,,,,,,,,
Ice_2,Chiller,Uncommon,200,2,Puppy_Eyes,,,,,,,,,
Ice_3,Icicle,Legendary,30,17,Serious,,,,,,,,,
Magma_1,Cinder,Common,150,5,Anime,,,,,,,,,
Magma_2,Sear,Rare,100,8,Serious,,,,,,,,,
Magma_3,Smolder,Epic,50,11,Anime,,,,,,,,,
Plant_1,Vine,Uncommon,200,2,Mustage,,,,,,,,,
Plant_2,Thorne,Legendary,30,17,Frozen,,,,,,,,,
Plant_3,Bloom,Rare,100,8,Unibrow,,,,,,,,,
RGB_1,Hologram,Common,150,5,Cry,,,,,,,,,
RGB_2,Prism,Epic,50,11,Puppy_Eyes,,,,,,,,,
RGB_3,Spectrum,Legendary,30,17,Lightning,,,,,,,,,
Water_1,Surge,Rare,100,8,Smushed,,,,,,,,,
Water_2,Cascade,Epic,50,11,Troll,,,,,,,,,
Water_3,Torrent,Uncommon,200,2,Angry,,,,,,,,,
Diamond_1,Luminara,Common,150,5,Confused,,,,,,,,,
Diamond_2,Halo,Rare,100,8,Serious,,,,,,,,,
Diamond_3,Radiant,Epic,50,11,Cry,,,,,,,,,
Earth_1,Mesa,Uncommon,200,2,Puppy_Eyes,,,,,,,,,
Earth_2,Crag,Rare,100,8,Gemstone,,,,,,,,,
Earth_3,Tremor,Legendary,30,17,Unibrow,,,,,,,,,
Fire_1,Brimfire,Common,150,5,Smile,,,,,,,,,
Fire_2,Ignis,Epic,50,11,Angry,,,,,,,,,
Fire_3,Wildspark,Mythic,5,25,Mustage,,,,,,,,,
Galaxy_1,Astralis,Rare,100,8,Anime,,,,,,,,,
Galaxy_2,Zenith,Legendary,30,17,Lightning,,,,,,,,,
Galaxy_3,Voidflare,Uncommon,200,2,Frozen,,,,,,,,,
Gemstone_1,Tourmaline,Common,150,5,Mustage,,,,,,,,,
Gemstone_2,Zircona,Rare,100,8,Angry,,,,,,,,,
Gemstone_3,Garnetis,Epic,50,11,Anime,,,,,,,,,
Gold_1,Gildra,Rare,100,8,Cry,,,,,,,,,
Gold_2,Sunburst,Uncommon,200,2,Serious,,,,,,,,,
Gold_3,Aurion,Legendary,30,17,Puppy_Eyes,,,,,,,,,
Ice_1,Cryo,Epic,50,11,Smile,,,,,,,,,
Ice_2,Everfrost,Legendary,30,17,Smushed,,,,,,,,,
Ice_3,Frostfang,Common,150,5,Troll,,,,,,,,,
Magma_1,Obsidian,Rare,100,8,Unibrow,,,,,,,,,
Magma_2,Embercore,Epic,50,11,Lightning,,,,,,,,,
Magma_3,Pyronox,Uncommon,200,2,Gemstone,,,,,,,,,
Plant_1,Verdalis,Common,150,5,Serious,,,,,,,,,
Plant_2,Sagebloom,Rare,100,8,Cry,,,,,,,,,
Plant_3,Thornroot,Legendary,30,17,Puppy_Eyes,,,,,,,,,
RGB_1,Chromis,Uncommon,200,2,Mustage,,,,,,,,,
RGB_2,Fluora,Epic,50,11,Frozen,,,,,,,,,
RGB_3,Iridion,Common,150,5,Angry,,,,,,,,,
Water_1,Abyssis,Uncommon,200,2,Anime,,,,,,,,,
Water_2,Hydron,Legendary,30,17,Smile,,,,,,,,,
Water_3,Riptide,Mythic,5,25,Troll,,,,,,,,,
